Часть статьи УК РФ,Описание преступления,"Число 
осужденных по основной статье","Число 
осужденных по дополнительной квалификации",Год
286 ч.1,Превышение должностных полномочий,466,315,2009
286 ч.2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",57,20,2009
286 ч.3,Превышение должностных полномочий при отягчающих обстоятельствах,1771,193,2009
286 ч.1,Превышение должностных полномочий,466,315,2010
286 ч.2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",57,20,2010
286 ч.3,Превышение должностных полномочий при отягчающих обстоятельствах,1771,193,2010
286 ч.1,Превышение должностных полномочий,492,217,2011
286 ч.2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",57,5,2011
286 ч.3,Превышение должностных полномочий при отягчающих обстоятельствах,1 651,79,2011
286 ч.1,Превышение должностных полномочий,380,160,2012
286 ч.2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",64,3,2012
286 ч.3,Превышение должностных полномочий при отягчающих обстоятельствах,1 238,58,2012
286 ч.1,Превышение должностных полномочий,355,161,2013
286 ч.2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",55,6,2013
286 ч.3,Превышение должностных полномочий при отягчающих обстоятельствах,1 114,34,2013
286 ч.1,Превышение должностных полномочий,284,152,2014
286 ч.2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",72,3,2014
286 ч.3,Превышение должностных полномочий при отягчающих обстоятельствах,961,29,2014
286 ч.1,Превышение должностных полномочий,321,182,2015
286 ч.2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",61,5,2015
286 ч.3,Превышение должностных полномочий при отягчающих обстоятельствах,991,40,2015
286 ч.1,Превышение должностных полномочий,371,206,2016
286 ч.2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",77,9,2016
286 ч.3,Превышение должностных полномочий при отягчающих обстоятельствах,949,39,2016
286 ч. 1,Превышение должностных полномочий,336,181,2017
286 ч. 2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",85,10,2017
286 ч. 3,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ при отягчающих обстоятельствах",799,41,2017
286 ч. 1,Превышение должностных полномочий,331,195,2018
286 ч. 2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",90,13,2018
286 ч. 3,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ при отягчающих обстоятельствах",711,55,2018
286 ч. 1,Превышение должностных полномочий,346,208,2019
286 ч. 2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",87,11,2019
286 ч. 3,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ при отягчающих обстоятельствах",626,44,2019
286 ч. 1,Превышение должностных полномочий,266,157,2020
286 ч. 2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",54,8,2020
286 ч. 3,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ при отягчающих обстоятельствах",503,26,2020
286 ч. 1,Превышение должностных полномочий,372,210,2021
286 ч. 2,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ",52,10,2021
286 ч. 3,"Превышение должностных полномочий, совершенное лицом, занимающим государственную должность РФ при отягчающих обстоятельствах",575,37,2021
